feature,importance
ENTRANCES_AVG,0.0021041692
EXT_SOURCE_STD,0.0020982234
BUREAU_BALANCE_STATUS_1_SUM,0.0020897447
BUREAU_CNT_CREDIT_PROLONG_SUM,0.0020628676
REGISTRATION_ID_GAP,0.002045612
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0020419632
CC_POS_RATIO_MEAN,0.0020382141
AMT_REQ_CREDIT_BUREAU_YEAR,0.0020349938
PA_CREDIT_DURATION_MAX,0.0020303389
FLAG_DOCUMENT_13,0.002027087
BASEMENTAREA_AVG,0.0020202561
HOUR_APPR_PROCESS_START,0.002018977
AMT_REQ_CREDIT_BUREAU_MON,0.001987891
CC_PAYMENT_BALANCE_RATIO_MEAN,0.0019692502
AMT_REQ_CREDIT_BUREAU_WEEK,0.0019605637
PA_LAST_DOWN_PAYMENT_RATIO,0.001947661
IP_FIRST_DELAY_MEAN,0.0019464163
PA_LAST_IS_REJECTED,0.0019452774
CC_PRINCIPAL_RATIO_MEAN,0.0019413268
FLAG_DOCUMENT_11,0.0019281611
FLAG_DOCUMENT_18,0.001924765
BUREAU_MAX_OVERDUE_RATIO,0.0018966662
PC_LAST_DPD_MEAN,0.0018916971
REG_CITY_NOT_WORK_CITY,0.0018899934
PA_CONTRACT_TYPE_1,0.0018731741
NONLIVINGAREA_MODE,0.0018720555
PC_SK_DPD_MAX,0.0018364798
REG_REGION_NOT_WORK_REGION,0.0018078648
ENTRANCES_MEDI,0.001771394
LIVINGAPARTMENTS_AVG,0.0017664048
CC_DRAWINGS_TOTAL_AMT_MAX,0.0017492168
FLAG_CONT_MOBILE,0.0017412773
CHILDREN_RATIO,0.0017406961
CC_AMT_BALANCE_MEAN,0.0017343357
LANDAREA_MEDI,0.001729244
COMMONAREA_MODE,0.0017291954
CC_TREND_BALANCE,0.0016948491
CC_AMT_BALANCE_SUM,0.0016805766
BUREAU_BALANCE_STATUS_2_SUM,0.0016699834
CC_AMT_BALANCE_MIN,0.0016666042
CC_PAYMENT_TOTAL_MEAN,0.0016300067
COMMONAREA_MEDI_MISSING,0.0016191591
BUREAU_BALANCE_HAS_HIGH_DPD_SUM,0.0016185859
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0016099985
FLOORSMIN_MEDI,0.001606129
FLOORSMIN_AVG,0.0016029536
PA_PORTFOLIO_1,0.00158668
